Date;Time;Generic Output (mm/h)
12/1/20;12:00:00 AM;0.0
12/1/20;12:02:00 AM;0.0
12/1/20;12:04:00 AM;0.0
12/1/20;12:06:00 AM;0.0
12/1/20;12:08:00 AM;0.0
12/1/20;12:10:00 AM;0.0
12/1/20;12:12:00 AM;0.0
12/1/20;12:14:00 AM;0.0
12/1/20;12:16:00 AM;0.0
12/1/20;12:18:00 AM;0.0
12/1/20;12:20:00 AM;0.0
12/1/20;12:22:00 AM;0.0
12/1/20;12:24:00 AM;0.0
12/1/20;12:26:00 AM;0.0
12/1/20;12:28:00 AM;0.0
12/1/20;12:30:00 AM;0.0
12/1/20;12:32:00 AM;0.0
12/1/20;12:34:00 AM;0.0
12/1/20;12:36:00 AM;0.0
12/1/20;12:38:00 AM;0.0
12/1/20;12:40:00 AM;0.0
12/1/20;12:42:00 AM;0.0
12/1/20;12:44:00 AM;0.0
12/1/20;12:46:00 AM;0.0
12/1/20;12:48:00 AM;0.0
12/1/20;12:50:00 AM;0.0
12/1/20;12:52:00 AM;0.0
12/1/20;12:54:00 AM;0.0
12/1/20;12:56:00 AM;0.0
12/1/20;12:58:00 AM;0.0
12/1/20;1:00:00 AM;0.0
12/1/20;1:02:00 AM;0.0
12/1/20;1:04:00 AM;0.0
12/1/20;1:06:00 AM;0.0
12/1/20;1:08:00 AM;0.0
12/1/20;1:10:00 AM;0.0
12/1/20;1:12:00 AM;0.0
12/1/20;1:14:00 AM;0.0
12/1/20;1:16:00 AM;0.0
12/1/20;1:18:00 AM;0.0
12/1/20;1:20:00 AM;0.0
12/1/20;1:22:00 AM;0.0
12/1/20;1:24:00 AM;0.0
12/1/20;1:26:00 AM;0.0
12/1/20;1:28:00 AM;0.0
12/1/20;1:30:00 AM;0.0
12/1/20;1:32:00 AM;0.0
12/1/20;1:34:00 AM;0.0
12/1/20;1:36:00 AM;0.0
12/1/20;1:38:00 AM;0.0
12/1/20;1:40:00 AM;0.0
12/1/20;1:42:00 AM;0.0
12/1/20;1:44:00 AM;0.0
12/1/20;1:46:00 AM;0.0
12/1/20;1:48:00 AM;0.0
12/1/20;1:50:00 AM;0.0
12/1/20;1:52:00 AM;0.0
12/1/20;1:54:00 AM;0.0
12/1/20;1:56:00 AM;0.0
12/1/20;1:58:00 AM;0.0
12/1/20;2:00:00 AM;0.0
12/1/20;2:02:00 AM;0.0
12/1/20;2:04:00 AM;0.0
12/1/20;2:06:00 AM;0.0
12/1/20;2:08:00 AM;0.0
12/1/20;2:10:00 AM;0.0
12/1/20;2:12:00 AM;0.0
12/1/20;2:14:00 AM;0.0
12/1/20;2:16:00 AM;0.0
12/1/20;2:18:00 AM;0.0
12/1/20;2:20:00 AM;0.0
12/1/20;2:22:00 AM;0.0
12/1/20;2:24:00 AM;0.0
12/1/20;2:26:00 AM;0.0
12/1/20;2:28:00 AM;0.0
12/1/20;2:30:00 AM;0.0
12/1/20;2:32:00 AM;0.0
12/1/20;2:34:00 AM;0.0
12/1/20;2:36:00 AM;0.0
12/1/20;2:38:00 AM;0.0
12/1/20;2:40:00 AM;0.0
12/1/20;2:42:00 AM;0.0
12/1/20;2:44:00 AM;0.0
12/1/20;2:46:00 AM;0.0
12/1/20;2:48:00 AM;0.0
12/1/20;2:50:00 AM;0.0
12/1/20;2:52:00 AM;0.0
12/1/20;2:54:00 AM;0.0
12/1/20;2:56:00 AM;0.0
12/1/20;2:58:00 AM;0.0
12/1/20;3:00:00 AM;0.0
12/1/20;3:02:00 AM;0.0
12/1/20;3:04:00 AM;0.0
12/1/20;3:06:00 AM;0.0
12/1/20;3:08:00 AM;0.0
12/1/20;3:10:00 AM;0.0
12/1/20;3:12:00 AM;0.0
12/1/20;3:14:00 AM;0.0
12/1/20;3:16:00 AM;0.0
12/1/20;3:18:00 AM;0.0
12/1/20;3:20:00 AM;0.0
12/1/20;3:22:00 AM;0.0
12/1/20;3:24:00 AM;0.0
12/1/20;3:26:00 AM;0.0
12/1/20;3:28:00 AM;0.0
12/1/20;3:30:00 AM;0.0
12/1/20;3:32:00 AM;0.0
12/1/20;3:34:00 AM;0.0
12/1/20;3:36:00 AM;0.0
12/1/20;3:38:00 AM;0.0
